age,prres,prrso,prresbrca1,prrsobrca1
30,0.07241379310344828,0.020202020202020204,0.5238095238095238,0.75
31,0.034482758620689655,0,0.3,NA
32,0.034482758620689655,0.020202020202020204,0.7,1
33,0.06896551724137931,0,0.55,NA
34,0.06896551724137931,0.030303030303030304,0.4,0.5
35,0.07931034482758621,0.030303030303030304,0.6956521739130435,0.6666666666666666
36,0.09655172413793103,0.025252525252525252,0.39285714285714285,0.8
37,0.0896551724137931,0.030303030303030304,0.5,0.3333333333333333
38,0.09655172413793103,0.08080808080808081,0.35714285714285715,0.8125
39,0.09655172413793103,0.13131313131313133,0.6071428571428571,0.6153846153846154
40,0.08620689655172414,0.13636363636363635,0.6,0.4074074074074074
41,0.05172413793103448,0.07575757575757576,0.26666666666666666,0.4666666666666667
42,0.034482758620689655,0.08585858585858586,0.3,0.29411764705882354
43,0.04482758620689655,0.0707070707070707,0.38461538461538464,0.42857142857142855
44,0.027586206896551724,0.08585858585858586,0.25,0.29411764705882354
45,0.0034482758620689655,0.08585858585858586,0,0.5294117647058824
46,0.010344827586206896,0.030303030303030304,0,0.3333333333333333
47,0.0034482758620689655,0.030303030303030304,1,0.6666666666666666
48,0,0.030303030303030304,NA,0.16666666666666666
49,0,0,NA,NA
